Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
SPBC1105.04c,cbp1,,2539971
SPMITTRNAARG.02,,,
SPNCRNA.1608,cbp1-antisense-2,,
SPCC1020.05,,,2538828
SPMITTRNAALA.01,,,
SPCC1393.07c,mug4,,2538889
SPBC1105.05,exg1,,2539993
SPCC1393.12,,,2538891
SPCC63.02c,aah3,,2539415
SPNCRNA.581,SPCC1393.03-antisense-1,,
SPRRNA.55,,,
SPAC31A2.15c,dcc1,,2543078
SPCC16A11.02,utp13,,2539337
SPBC1105.10,rav1,,2539705
SPCC16A11.04,snx12,,2538748
SPNCRNA.1610,rav1-antisense-1,,
SPCC16A11.13,luc7,,2539055
SPAC31A2.16,gef2,,2543168
SPBC1105.11c,hht3,,2539804
SPAC13C5.04,,,2542450
SPCC16A11.16c,rpn1302,,2539182
SPNCRNA.1611,hhf3-antisense-1,,
SPSNORNA.01,snR40,,
SPCC24B10.02c,,,2539251
SPAC13C5.06c,mug121,,2542798
SPNCRNA.05,prl5,,
SPCC24B10.04,,,2539356
SPAC23E2.02,lsd2,,2541832
SPCC24B10.10c,yta4,,2539116
SPAC24H6.07,rps901,,2542629
SPMITTRNASER.01,,,
SPMITTRNAASN.01,,,
SPBC1105.14,rsv2,,2539604
SPCC24B10.12,cgi121,,2539388
SPMITTRNAMET.01,,,
SPCTRNAARG.09,,,
SPBC1105.13c,,,2539605
SPCC24B10.15,swt1,,2538887
SPMIT.01,cox1,,1669524
SPNCRNA.1613,SPBC887.02-antisense-1,,
SPMITTRNAARG.01,,,
SPBC887.07,mrpl38,,2541232
SPCC24B10.16c,,,2539365
SPMITTRNAPHE.01,,,
SPBC887.08,,,2541222
SPNCRNA.1615,pus2-antisense-1,,
SPAC24H6.05,cdc25,,2542632
SPCC24B10.19c,nts1,,2538907
SPMITTRNAASP.01,,,
SPBC887.12,,,2541239
SPCC24B10.20,,,2538958
SPBC887.19,rft1,,2541221
SPAC24H6.03,cul3,,2542637
SPCPB16A4.03c,ade10,,2539569
SPMIT.07,atp6,,1669530
SPNCRNA.1619,,,
SPNCRNA.477,,,
SPNCRNA.654,SPAC24H6.02c-antisense-1,,
SPMITTRNACYS.01,,,
SPNCRNA.47,prl47,,
SPBC16D10.02,trm11,,2540011
SPCPB16A4.07,,,14217369
SPMITTRNATYR.01,,,
SPCPB16A4.06c,,,2539492
SPMITTRNAILE.02,,,
SPBC16D10.04c,dna2,,2540148
SPNCRNA.1163,,,
SPNCRNA.1165,,,
SPNCRNA.1621,mok13-antisense-1,,
SPMITTRNASER.02,,,
SPCC1795.02c,vcx1,,2539393
SPAPB21F2.03,slx9,,2543463
SPBC16D10.08c,hsp104,,2540026
SPCC1795.01c,mad3,,2539219
SPBC16D10.10,tad2,,2539634
SPCC895.04c,ufe1,,2538886
SPAC227.01c,erd1,,2541909
SPAC227.19c,,,9407191
SPBC16D10.11c,rps1801,,2540180
SPAC227.02c,rrp15,,2541919
SPNCRNA.426,,,
SPNCRNA.1625,,,
SPAC227.04,atg10,,2541913
SPBP8B7.05c,nce103,,2541362
SPAC227.11c,yos9,,2541459
SPNCRNA.659,psf3-antisense-1,,
SPCC895.07,alp14,,2539497
SPSNORNA.04,snoZ5,,
SPRRNA.02,15S_rRNA,,
SPCC895.08c,,,2539597
SPNCRNA.1167,,,
SPAC227.16c,psf3,,2541474
SPMIT.04,cox3,,
SPCC1259.04,iec3,,2539078
SPAC2F7.02c,psr1,,2541901
SPMITTRNAPRO.01,,,
SPCC1259.10,pgp1,,2539074
SPCTRNAALA.12,,,
SPCTRNAARG.11,,,
SPBP8B7.08c,ppm1,,2541346
SPMIT.08,var1,,1669526
SPNCRNA.481,,,
SPCTRNAARG.12,,,
SPCTRNALEU.12,,,
SPNCRNA.484,,,
SPMIT.10,atp9,,1669532
SPCTRNAASP.07,,,
SPNCRNA.1173,ppc1-antisense-1,,
SPCC4B3.14,cwf20,,2539503
SPBP8B7.10c,utp16,,2541361
SPCC4B3.12,set9,,2539545
SPBP8B7.12c,fta3,,2541342
SPNCRNA.1175,,,
SPSNORNA.27,snoR47,,
SPNCRNA.486,,,
SPNCRNA.1176,SPCC4B3.06c-antisense-1,,
SPCC4B3.04c,nte1,,2539411
SPBP8B7.13,vac7,,2541367
SPNCRNA.120,,,
SPNCRNA.427,,,
SPCC4B3.02c,,,2538876
SPCC4B3.01,tum1,,5802714
SPBP8B7.20c,nop2,,2541274
SPCP25A2.03,tho1,,2539396
SPAC2F7.03c,pom1,,2541889
SPBP8B7.19,spt16,,2541355
SPCC550.01c,coa4,,2538864
SPAC2F7.05c,tif5,,2541629
SPBP8B7.22,erd2,,2540214
SPNCRNA.661,SPAC2F7.09c-antisense-1,,
SPBP8B7.26,,,2541384
SPAC2F7.10,akr1,,2541757
SPCC550.03c,ski2,,2538841
SPBC19F5.01c,puc1,,2540654
SPNCRNA.1178,SPCC550.03c-antisense-1,,
SPAC2F7.15,rsm24,,2541429
SPNCRNA.1632,utp4-antisense-1,,
SPCC550.06c,hsp10,,2539489
SPBC19F5.03,sac11,,2540393
SPAC13A11.03,mcp7,,2542548
SPCTRNAVAL.11,,,
SPBC19F5.04,,,2540602
SPAC3H8.04,,,2543634
SPBC25D12.04,suc22,,2540381
SPNCRNA.156,,,
SPBC25D12.05,trm1,,2540604
SPCC550.11,,,2539463
SPBC13G1.02,mpg2,,2539751
SPCC550.13,dfp1,,2539399
SPBC13G1.06c,isd11,,2539888
SPBC13G1.09,enp1,,2539887
SPCC4E9.01c,rec11,,2538852
SPCC645.02,gep4,,2539038
SPBC31F10.02,,,2540374
SPAC3H8.07c,pac10,,2543378
SPNCRNA.666,nab3-antisense-1,,
SPBC31F10.03,ggg1,,2540372
SPNCRNA.668,mug161-antisense-1,,
SPAC1F3.08c,,,2541431
SPCC645.05c,myo2,,2539513
SPBC31F10.11c,cwf4,,2540328
SPAC1F3.09,mug161,,2541461
SPCC645.12c,,,2538818
SPAC1D4.08,pis1,,
SPCC645.14c,sti1,,2539474
SPCC1322.01,rpm1,,2538798
SPNCRNA.122,,,
SPCC1322.05c,lap2,,2538917
SPBC21C3.01c,vps1301,,2540516
SPNCRNA.1640,vps13a-antisense-1,,
SPAC1D4.09c,rtf2,,2542468
SPBC21C3.07c,trm140,,2540321
SPAC1D4.10,trz1,,2542457
SPCC1322.06,kap113,,2538800
SPBC21C3.09c,,,2540605
SPNCRNA.671,,,
SPNCRNA.1643,SPBC21C3.09c-antisense-1,,
SPCC1322.07c,mug150,,2539245
SPNCRNA.1186,,,
SPBC21C3.12c,,,2540715
SPAC1D4.13,byr1,,2542137
SPCC1322.10,,,2538971
SPBC21C3.15c,,,2540508
SPAC22F3.12c,rgs1,,2541764
SPBC21C3.17c,,,2540488
SPAC22F3.11c,snu23,,2541763
SPBC23E6.03c,nta1,,2540661
SPCC1322.12c,bub1,,2538736
SPNCRNA.1645,sat1-antisense-1,,
SPBC23E6.10c,mri1,,2540540
SPCC132.02,hst2,,2538868
SPNCRNA.488,,,
SPBC211.01,rsm10,,2540539
SPNCRNA.490,,,
SPCTRNATHR.10,,,
SPBC211.03c,gea1,,2540746
SPCC338.07c,naa15,,2539338
SPCC338.04,cid2,,2538789
SPBC211.05,sap10,,2540636
SPRRNA.03,,,
SPNCRNA.1190,,,
SPAC22F3.08c,rok1,,2541786
SPBC211.06,gfh1,,2540667
SPATRNAVAL.02,,,
SPCC1281.02c,spf30,,2538711
SPBC1604.17c,tti2,,2539771
SPCC1281.04,,,2539165
SPAC22F3.02,atf31,,2541860
SPBC1604.16c,,,2539734
SPCC1281.05,rsc7,,2538836
SPAC1296.02,cox4,,2543025
SPCC1281.07c,,,2539028
SPAC1296.06,tah18,,2542966
SPCC622.01c,,,2539533
SPNCRNA.677,,,
SPBC1604.14c,shk1,,2539997
SPNCRNA.1193,,,
SPCC622.11,,,2538812
SPAC22G7.04,pan2,,2541684
SPNCRNA.678,SPAC22G7.05-antisense-1,,
SPCC622.12c,gdh1,,2539147
SPBC1604.12,,,2539702
SPBC1604.07,atp4,,2539732
SPAC22G7.06c,ura1,,2541544
SPCC622.13c,tti1,,2539480
SPAC22G7.11c,cum1,,2541751
SPBC1604.02c,ppr1,,2539860
SPNCRNA.545,,,
SPAC4G8.02c,sss1,,2543140
SPNCRNA.20,prl20,,
SPBC1677.02,dpm3,,2539664
SPAC4G8.03c,puf5,,2543684
SPBC1677.03c,tda1,,2540162
SPNCRNA.680,,,
SPBTRNAASP.04,,,
SPBC26H8.01,thi2,,2540526
SPBC26H8.02c,sec9,,2540623
SPNCRNA.1650,,,
SPBC26H8.03,cho2,,2540538
SPCC622.16c,epe1,,2539481
SPAC4G8.05,ppk14,,2543432
SPNCRNA.89,,,
SPCC622.18,rpl6,,2539372
SPCC61.03,,,2539500
SPAC4G8.06c,trm12,,2543551
SPCC61.04c,,,2539076
SPNCRNA.684,,,
SPBC32C12.02,ste11,,2540258
SPCC11E10.02c,gpi8,,2539272
SPAC16C9.01c,,,2542315
SPBC3B9.04,oms1,,2540448
SPCTRNALYS.12,,,
SPNCRNA.1655,rpa43-antisense-1,,
SPNCRNA.1656,nup120-antisense-1,,
SPBC3B9.16c,nup120,,2540505
SPBC3B9.19,mge1,,2541039
SPBC215.01,,,2540535
SPCC188.02,par1,,2539379
SPCC188.06c,srp54,,2539290
SPNCRNA.1201,pfl4-antisense-1,,
SPCC188.14,,,14217202
SPBC215.03c,csn1,,2540352
SPCC584.16c,,,2539304
SPBC215.04,git11,,2540666
SPCC584.05,sec1,,2538850
SPBTRNAASN.03,,,
SPBC215.09c,erg10,,2540616
SPNCRNA.1660,SPBC215.10-antisense-1,,
SPBC1347.06c,cki1,,2539610
SPBC1347.14c,,,5802830
SPCC1753.02c,git3,,2538770
SPNCRNA.132,tos3,,
SPBC56F2.07c,,,2540537
SPBTRNAGLU.08,,,
SPAC16C9.05,cph1,,2542318
SPCC1753.03c,rec7,,2539330
SPNCRNA.1670,,,
SPAC2G11.02,urb2,,2541516
SPNCRNA.69,tos1,,
SPBC56F2.02,rpl1901,,2540870
SPAC2G11.08c,smn1,,2542002
SPNCRNA.1673,,,
SPCC1753.04,tol1,,2538954
SPNCRNA.113,,,
SPAC2G11.13,atg22,,2541826
SPNCRNA.691,atg22-antisense-1,,
SPBC1861.02,abp2,,2539827
SPNCRNA.1675,SPBC1861.05-antisense-1,,
SPAC521.02,,,2543468
SPCC162.12,tco89,,2538993
SPAC521.03,,,2543461
SPCC162.06c,,,2538774
SPCC162.05,coq3,,2538771
SPAC23G3.04,ies4,,2541424
SPCC162.03,,,2539382
SPNCRNA.2001,adh1-antisense-1,,
SPNCRNA.1209,SPCC13B11.03c-antisense-1,,
SPCC13B11.03c,,,2538985
SPNCRNA.1210,SPCC777.03c-antisense-1,,
SPCC777.05,gtr2,,2539088
SPAC23G3.10c,ssr3,,2541438
SPCC663.17,wtf15,,3361117
SPAC22H12.01c,mug35,,2541723
SPCC663.03,pmd1,,2538709
SPBC1861.07,,,2539714
SPAC1687.01,rpc19,,2542799
SPNCRNA.1676,,,
SPCC663.04,rpl39,,2539277
SPAC1687.02,,,2542754
SPBC14F5.02,trs65,,2539755
SPAC1687.09,tax4,,2542753
SPBC14F5.03c,kap123,,2539863
SPBC14F5.06,rli1,,2539753
SPCC663.05c,cia1,,2539568
SPCC663.07c,,,
SPBC14F5.13c,pho8,,2539926
SPAC1687.14c,,,2542111
SPNCRNA.1678,trr1-antisense-1,,
SPCC663.10,trm44,,2538705
SPNCRNA.576,qrs1-antisense-1,,
SPCC663.13c,naa50,,2539534
SPBC16G5.02c,rbk1,,2539822
SPCC663.14c,trp663,,2539514
SPBC16G5.08,trp4,,2540065
SPAC1687.15,gsk3,,2542652
SPNCRNA.439,,,
SPCC663.15c,,,2539427
SPAC1687.17c,,,2542379
SPBC16G5.17,,,2539906
SPCC417.08,tef3,,2539295
SPBC1652.02,,,2540163
SPAC1687.18c,ssl3,,2542301
SPCC417.12,,,2539430
SPBC16A3.17c,,,2539979
SPCC417.16,,,14217368
SPCC191.01,,,2539404
SPCC191.02c,acs1,,2539546
SPBC16A3.15c,nda2,,2539864
SPAC1687.20c,mis6,,2542304
SPCC1450.03,,,2539316
SPBC16A3.12c,,,2539875
SPAC1687.21,,,2542303
SPNCRNA.1686,ufd1-antisense-1,,
SPCC1450.06c,grx3,,2539000
SPBC16A3.03c,ppr7,,2539934
SPAC222.19,tam1,,14218092
SPCC1450.08c,wtf16,,2539156
SPBC543.05c,,,2540261
SPCTRNASER.12,,,
SPCC1442.07c,,,2538751
SPAC222.05c,mss1,,2541951
SPBC16C6.04,dbl6,,2539754
SPNCRNA.700,mss1-antisense-1,,
SPBC16C6.07c,rpt1,,2539862
SPCC1442.10c,rpb3,,2538816
SPCTRNAPRO.09,,,
SPBC16C6.08c,qcr6,,2540140
SPCC1442.14c,hnt1,,2538824
SPCC1442.16c,zta1,,2538826
SPBC16C6.09,ogm4,,2539761
SPAC222.08c,sno1,,2541464
SPCC285.03,,,2538809
SPSNRNA.02,snu2,,
SPBC1539.01c,mrp15,,2539929
SPNCRNA.442,,,
SPCC285.10c,,,2539213
SPBC1539.09c,trp1,,2539973
SPNCRNA.1233,spp27-antisense-1,,
SPAC222.10c,byr4,,2541936
SPNCRNA.504,,,
SPCC1223.03c,gut2,,2539217
SPAC222.12c,atp2,,2541927
SPBC1289.02c,uap2,,2539783
SPNCRNA.701,SPAC222.13c-antisense-1,,
SPCC1223.04c,set11,,2539232
SPBC1289.03c,spi1,,2540149
SPBC1289.05c,vma10,,2540172
SPAC222.14c,sey1,,2541926
SPNCRNA.702,spn2-antisense-1,,
SPBC1289.06c,ppr8,,2539603
SPAC821.07c,moc3,,2543646
SPCC1223.15c,spc19,,5802726
SPBC1289.08,uap1,,2540183
SPBC1289.09,tim21,,2539981
SPAC821.10c,sod1,,2542128
SPCC1223.06,tea1,,2539047
SPCC1223.07c,drs1,,2539278
SPAC23C4.05c,,,2541954
SPCC1223.09,,,2538957
SPCC1223.10c,eaf1,,2539104
SPBC1289.10c,adn2,,2540193
SPCTRNAGLN.05,,,
SPBC1289.15,pfl5,,2540145
SPCC1223.12c,meu10,,2539046
SPAC23C4.08,rho3,,3361511
SPCC1223.13,cbf12,,2539119
SPBC8E4.03,,,2541279
SPCC1223.14,,,2538817
SPNCRNA.708,atp18-antisense-1,,
SPCC297.06c,,,2539229
SPBC8E4.12c,ecl3,,9407219
SPCC737.05,,,2539112
SPCC737.07c,,,2539412
SPBC8E4.02c,,,2541246
SPCC737.09c,hmt1,,3361134
SPBP4G3.03,fub2,,2541335
SPAC23C4.12,hhp2,,2541929
SPCC74.01,sly1,,2539096
SPNCRNA.1695,SPBP4G3.03-antisense-1,,
SPNCRNA.506,,,
SPNCRNA.508,,,
SPBPB2B2.05,,,2541359
SPAC23C4.17,trm402,,2541917
SPNCRNA.1246,,,
SPCC18.02,,,2538923
SPBPB2B2.08,,,2541397
SPNCRNA.1247,SPCC18.03-antisense-1,,
SPNCRNA.1248,,,
SPNCRNA.448,,,
SPNCRNA.1249,,,
SPBCPT2R1.02,,,5802836
SPCC18.07,rpc53,,2538851
SPCC18.08,,,2539141
SPBCPT2R1.03,,,5802837
SPBCPT2R1.03,,,9844340
SPCC18.14c,rpp0,,2538893
SPBCPT2R1.06c,,,
SPAC23C4.18c,rad4,,2543281
SPBCPT2R1.07c,,,
SPNCRNA.166,,,
SPCC18.17c,,,2539160
SPNCRNA.1253,imt2-antisense-1,,
SPNCRNA.585,,,
SPNCRNA.1255,,,
SPCC1739.02c,mrpl22,,2538941
SPCC1739.04c,,,2539009
SPNCRNA.549,,,
SPNCRNA.1256,,,
SPCC1739.09c,cox13,,2538807
SPBC1348.01,,,2543090
SPAC1A6.03c,,,2542220
SPBC1348.12,,,3361165
SPCC1739.10,mug33,,2539381
SPBPB8B6.05c,,,3361187
SPAC1A6.09c,lag1,,2542464
SPBPB21E7.01c,eno102,,3361181
SPCC1739.15,wtf21,,2538972
SPBPB21E7.10,,,14217544
SPAC30D11.12,rpl3802,,2541705
SPCPB1C11.02,,,2539031
SPBPB21E7.11,,,14217547
SPNCRNA.1305,SPBPB21E7.08-antisense-1,,
SPBPB21E7.08,,,
SPCC576.02,,,2539531
SPCC576.19c,,,2539025
SPBPB10D8.01,,,2541399
SPCC576.08c,rps2,,2539067
SPBPB10D8.05c,,,2541401
SPNCRNA.1261,rpl20-antisense-1,,
SPNCRNA.119,,,
SPAC30D11.10,rad52,,2543086
SPBPB10D8.07c,,,2541377
SPNCRNA.711,rad52-antisense-1,,
SPCC576.15c,ksg1,,2539517
SPNCRNA.292,,,
SPCC576.17c,,,2539554
SPAC30D11.05,aps3,,2542114
SPNCRNA.1264,pku70-antisense-1,,
SPBC359.04c,pfl7,,2540935
SPAC30D11.02c,,,2542490
SPCC126.07c,pbr1,,2539058
SPNCRNA.293,,,
SPBC1683.02,,,2540165
SPCC126.09,zip2,,2539302
SPCC126.10,iah1,,2539062
SPAC56F8.02,,,2543329
SPBC1683.07,mal1,,2539976
SPCTRNAASP.08,,,
SPNCRNA.713,SPAC56F8.02-antisense-1,,
SPNCRNA.298,,,
SPAC56F8.04c,ppt1,,2543235
SPBC1683.10c,pcl1,,2539895
SPCC126.13c,,,2539066
SPAC56F8.07,,,2543225
SPBC1683.11c,,,2539803
SPCC1620.13,,,2539394
SPCC830.04c,mug128,,2539089
SPAC56F8.08,mud1,,3361477
SPBC1198.03c,,,2540041
SPCC830.05c,epl1,,2539428
SPBTRNAGLY.03,,,
SPAC56F8.09,rrp8,,2543219
SPCC830.07c,psi1,,2539002
SPBC1198.10c,slm5,,2539632
SPCC830.08c,yop1,,2539171
SPAC56F8.11,spc3,,2543318
SPCC830.10,ham1,,2539034
SPAC56F8.12,,,2543326
SPBC1198.09,ubc16,,2539961
SPNCRNA.1324,fbp1-antisense-1,,
SPAC56F8.16,esc1,,2543286
SPAC22A12.02c,mug103,,2541510
SPCC1919.05,ski3,,2539136
SPBC1198.14c,fbp1,,2540031
SPAC22A12.04c,rps2201,,2541838
SPAC22A12.04c,rps2201,,2541977
SPCC1919.08c,mrpl33,,2539139
SPNCRNA.1326,,,
SPNCRNA.717,,,
SPCC1919.10c,myo52,,2538846
SPAC22A12.07c,ogm1,,2541418
SPCC1919.12c,,,2539157
SPBC660.07,ntp1,,2541115
SPCC1919.11,mug137,,2539113
SPBC660.09,mug168,,2541138
SPCC1919.14c,bdp1,,2538909
SPBC660.17c,,,2540569
SPNCRNA.1276,brl1-antisense-1,,
SPBC31E1.04,pep12,,2540289
SPCC1840.06,atp5,,2539241
SPNCRNA.1279,opt3-antisense-1,,
SPCC965.05c,thp1,,2539432
SPNCRNA.45,prl45,,
SPCC965.09,,,2539328
SPCC965.11c,agp3,,2539173
SPAC22A12.09c,sap114,,2541437
SPCC965.12,,,2539107
SPNCRNA.550,,,
SPAC22A12.13,mug84,,2541722
SPCC965.13,,,2538962
SPAC22A12.16,,,2541811
SPNCRNA.721,,,
SPCC1494.08c,,,2539001
SPATRNAALA.02,scn2,,
SPBC800.03,clr3,,2540821
SPCC70.12c,ecl1,,9406964
SPNCRNA.520,,,
SPNCRNA.1292,SPCC70.08c-antisense-1,,
SPAC4C5.03,,,2543590
SPCC70.09c,mug9,,2539342
SPNCRNA.722,,,
SPSNORNA.07,snR41,,
SPCC70.10,,,2538735
SPSNORNA.08,snR70,,
SPNCRNA.523,,,
SPCP1E11.03,mug170,,2539600
SPCC569.09,,,9407309
SPCC569.05c,,,2539551
SPCC569.01c,,,2539562
SPAC10F6.05c,ubc6,,2541642
SPRRNA.46,,,
SPRRNA.49,,,
SPNCRNA.727,,,
SPNCRNA.1299,,,
SPSNORNA.10,snoZ16,,
SPNCRNA.729,,,
SPAC10F6.16,mug134,,2542961
