Gene stable ID,Gene name,FlyBase gene ID,FlyBase gene name ID,NCBI gene (formerly Entrezgene) ID
FBgn0035235,CG7879,FBgn0035235,FBgn0035235,38184
FBgn0030509,CG11162,FBgn0030509,FBgn0030509,32325
FBgn0011894,tRNA:Lys-CTT-1-8,FBgn0011894,FBgn0011894,
FBgn0037022,CG11396,FBgn0037022,FBgn0037022,40296
FBgn0046114,Gclm,FBgn0046114,FBgn0046114,248194
FBgn0045474,Gr77a,FBgn0045474,FBgn0045474,117476
FBgn0050103,CG30103,FBgn0050103,FBgn0050103,36969
FBgn0013323,Ptth,FBgn0013323,FBgn0013323,33238
FBgn0039495,CG5909,FBgn0039495,FBgn0039495,43274
FBgn0267422,CR45775,FBgn0267422,FBgn0267422,
FBgn0023213,eIF4G1,FBgn0023213,FBgn0023213,43839
FBgn0022986,qkr58E-1,FBgn0022986,FBgn0022986,37561
FBgn0035270,CG13933,FBgn0035270,FBgn0035270,38227
FBgn0028369,kirre,FBgn0028369,FBgn0028369,31292
FBgn0267348,LanB2,FBgn0267348,FBgn0267348,39118
FBgn0267892,CR46180,FBgn0267892,FBgn0267892,
FBgn0263582,lncRNA:CR43607,FBgn0263582,FBgn0263582,
FBgn0010407,Ror,FBgn0010407,FBgn0010407,34367
FBgn0038078,CG14391,FBgn0038078,FBgn0038078,41567
FBgn0038099,CG7091,FBgn0038099,FBgn0038099,41590
FBgn0053260,CG33260,FBgn0053260,FBgn0053260,2768977
FBgn0037338,Snm1,FBgn0037338,FBgn0037338,40669
FBgn0037299,Vps37B,FBgn0037299,FBgn0037299,40624
FBgn0086605,CG9853,FBgn0086605,FBgn0086605,40557
FBgn0085213,CG34184,FBgn0085213,FBgn0085213,5740423
FBgn0263606,Hsc20,FBgn0263606,FBgn0263606,5740624
FBgn0260224,CG42498,FBgn0260224,FBgn0260224,8674046
FBgn0020258,ppk,FBgn0020258,FBgn0020258,34843
FBgn0262616,CR43142,FBgn0262616,FBgn0262616,
FBgn0033981,Cyp6a21,FBgn0033981,FBgn0033981,36665
FBgn0267541,lncRNA:CR45881,FBgn0267541,FBgn0267541,
FBgn0026086,Adar,FBgn0026086,FBgn0026086,31130
FBgn0030244,CG2157,FBgn0030244,FBgn0030244,32018
FBgn0039544,CG12877,FBgn0039544,FBgn0039544,43333
FBgn0265817,lncRNA:CR44606,FBgn0265817,FBgn0265817,
FBgn0029885,CG3224,FBgn0029885,FBgn0029885,31600
FBgn0041723,rho-5,FBgn0041723,FBgn0041723,2768944
FBgn0266224,lncRNA:CR44919,FBgn0266224,FBgn0266224,
FBgn0032066,LManIII,FBgn0032066,FBgn0032066,34203
FBgn0022709,Adk1,FBgn0022709,FBgn0022709,39396
FBgn0267450,asRNA:CR45800,FBgn0267450,FBgn0267450,
FBgn0011890,tRNA:Lys-CTT-1-5,FBgn0011890,FBgn0011890,
FBgn0037676,CG8861,FBgn0037676,FBgn0037676,41109
FBgn0050291,CG30291,FBgn0050291,FBgn0050291,246534
FBgn0039659,CG14506,FBgn0039659,FBgn0039659,43467
FBgn0265748,lncRNA:CR44555,FBgn0265748,FBgn0265748,
FBgn0033426,CG1814,FBgn0033426,FBgn0033426,35984
FBgn0260743,GC1,FBgn0260743,FBgn0260743,41448
FBgn0264543,CG43922,FBgn0264543,FBgn0264543,14462712
FBgn0032276,CG17098,FBgn0032276,FBgn0032276,34462
FBgn0022710,Ac13E,FBgn0022710,FBgn0022710,32485
FBgn0003575,su(sable),FBgn0003575,FBgn0003575,31012
FBgn0013718,nuf,FBgn0013718,FBgn0013718,39572
FBgn0259958,Sfp24F,FBgn0259958,FBgn0259958,8674016
FBgn0050419,CG30419,FBgn0050419,FBgn0050419,37879
FBgn0023525,CG3191,FBgn0023525,FBgn0023525,31209
FBgn0261938,mtRNApol,FBgn0261938,FBgn0261938,33285
FBgn0037120,CG11247,FBgn0037120,FBgn0037120,40414
FBgn0036782,CG7320,FBgn0036782,FBgn0036782,40010
FBgn0040010,CG17493,FBgn0040010,FBgn0040010,3355126
FBgn0037486,CG14605,FBgn0037486,FBgn0037486,40867
FBgn0029084,gom,FBgn0029084,FBgn0029084,43934
FBgn0039705,Atg16,FBgn0039705,FBgn0039705,326115
FBgn0040077,primo-1,FBgn0040077,FBgn0040077,3772179
FBgn0052283,Drsl3,FBgn0052283,FBgn0052283,317955
FBgn0051245,CG31245,FBgn0051245,FBgn0051245,42316
FBgn0039642,CG11882,FBgn0039642,FBgn0039642,43446
FBgn0266915,lncRNA:CR45375,FBgn0266915,FBgn0266915,
FBgn0014028,SdhB,FBgn0014028,FBgn0014028,35590
FBgn0065051,scaRNA:MeU5-U42,FBgn0065051,FBgn0065051,
FBgn0034797,nahoda,FBgn0034797,FBgn0034797,37641
FBgn0038924,CG6028,FBgn0038924,FBgn0038924,42589
FBgn0038217,CG14840,FBgn0038217,FBgn0038217,41734
FBgn0265152,lncRNA:CR44221,FBgn0265152,FBgn0265152,
FBgn0016978,snRNP-U1-70K,FBgn0016978,FBgn0016978,33982
FBgn0085341,CG34312,FBgn0085341,FBgn0085341,5740793
FBgn0038621,CG10864,FBgn0038621,FBgn0038621,42222
FBgn0025800,Smox,FBgn0025800,FBgn0025800,31738
FBgn0037293,CG12007,FBgn0037293,FBgn0037293,40617
FBgn0002936,ninaA,FBgn0002936,FBgn0002936,33271
FBgn0267887,CR46175,FBgn0267887,FBgn0267887,
FBgn0033893,CG18371,FBgn0033893,FBgn0033893,36556
FBgn0040232,cmet,FBgn0040232,FBgn0040232,53561
FBgn0265307,lncRNA:CR44280,FBgn0265307,FBgn0265307,
FBgn0266312,lncRNA:CR44977,FBgn0266312,FBgn0266312,
FBgn0052106,CG32106,FBgn0052106,FBgn0052106,317855
FBgn0032969,CG2528,FBgn0032969,FBgn0032969,35435
FBgn0046763,CG17278,FBgn0046763,FBgn0046763,50050
FBgn0025682,scf,FBgn0025682,FBgn0025682,38145
FBgn0266626,asRNA:CR45133,FBgn0266626,FBgn0266626,
FBgn0085482,CG34453,FBgn0085482,FBgn0085482,5740693
FBgn0032481,CG16972,FBgn0032481,FBgn0032481,34715
FBgn0265190,PIG-S,FBgn0265190,FBgn0265190,42979
FBgn0259703,CG42357,FBgn0259703,FBgn0259703,7354373
FBgn0002863,Acp95EF,FBgn0002863,FBgn0002863,47852
FBgn0040060,yip7,FBgn0040060,FBgn0040060,38680
FBgn0050169,Brca2,FBgn0050169,FBgn0050169,37916
FBgn0034462,CG15905,FBgn0034462,FBgn0034462,37257
FBgn0025631,moody,FBgn0025631,FBgn0025631,31168
FBgn0034822,RpL37b,FBgn0034822,FBgn0034822,37669
FBgn0028418,Lk,FBgn0028418,FBgn0028418,47746
FBgn0038890,CG7956,FBgn0038890,FBgn0038890,42545
FBgn0266743,lncRNA:CR45216,FBgn0266743,FBgn0266743,
FBgn0266633,asRNA:CR45140,FBgn0266633,FBgn0266633,
FBgn0004573,5-HT7,FBgn0004573,FBgn0004573,43669
FBgn0267066,lncRNA:CR45510,FBgn0267066,FBgn0267066,
FBgn0259841,Su(Ste):CR42410,FBgn0259841,FBgn0259841,
FBgn0266229,lncRNA:CR44924,FBgn0266229,FBgn0266229,
FBgn0039687,Naa40,FBgn0039687,FBgn0039687,43500
FBgn0034730,ppk12,FBgn0034730,FBgn0034730,37566
FBgn0000449,dib,FBgn0000449,FBgn0000449,45282
FBgn0043457,CG5180,FBgn0043457,FBgn0043457,192508
FBgn0036689,CG7730,FBgn0036689,FBgn0036689,39908
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3771729
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,318847
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3771959
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772370
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772032
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772607
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772517
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772173
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772374
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3771792
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772149
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772163
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772619
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772198
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772191
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772421
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3771723
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772552
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772189
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3771771
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772489
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772231
FBgn0053806,His3:CG33806,FBgn0053806,FBgn0053806,3772518
FBgn0022382,Pka-R2,FBgn0022382,FBgn0022382,36041
FBgn0267601,lncRNA:CR45939,FBgn0267601,FBgn0267601,
FBgn0085734,CR40450,FBgn0085734,FBgn0085734,
FBgn0267480,asRNA:CR45830,FBgn0267480,FBgn0267480,
FBgn0030578,CG5347,FBgn0030578,FBgn0030578,32403
FBgn0037885,CG17721,FBgn0037885,FBgn0037885,41354
FBgn0011274,Dif,FBgn0011274,FBgn0011274,35045
FBgn0032613,Nepl9,FBgn0032613,FBgn0032613,35020
FBgn0259855,Su(Ste):CR42424,FBgn0259855,FBgn0259855,
FBgn0028573,prc,FBgn0028573,FBgn0028573,43930
FBgn0033222,CG12824,FBgn0033222,FBgn0033222,35727
FBgn0034328,IM23,FBgn0034328,FBgn0034328,37099
FBgn0011884,tRNA:Ile-AAT-1-6,FBgn0011884,FBgn0011884,
FBgn0015572,alpha-Est4,FBgn0015572,FBgn0015572,40906
FBgn0033234,MFS12,FBgn0033234,FBgn0033234,35745
FBgn0061196,CG15468,FBgn0061196,FBgn0061196,31426
FBgn0050463,Pgant9,FBgn0050463,FBgn0050463,246627
FBgn0036784,CG5103,FBgn0036784,FBgn0036784,40012
FBgn0015838,Vang,FBgn0015838,FBgn0015838,35922
FBgn0037307,Tim17a2,FBgn0037307,FBgn0037307,40632
FBgn0001255,ImpE3,FBgn0001255,FBgn0001255,48239
FBgn0039799,CG15543,FBgn0039799,FBgn0039799,43647
FBgn0034084,CG8435,FBgn0034084,FBgn0034084,36789
FBgn0034460,CG18367,FBgn0034460,FBgn0034460,37255
FBgn0265735,lncRNA:CR44542,FBgn0265735,FBgn0265735,
FBgn0029123,SoxN,FBgn0029123,FBgn0029123,44275
FBgn0025595,AkhR,FBgn0025595,FBgn0025595,33942
FBgn0038976,Pfdn5,FBgn0038976,FBgn0038976,42647
FBgn0030344,Nrd1,FBgn0030344,FBgn0030344,32143
FBgn0053451,5SrRNA:CR33451,FBgn0053451,FBgn0053451,
FBgn0038649,CG7718,FBgn0038649,FBgn0038649,42254
FBgn0037296,Prosbeta2R2,FBgn0037296,FBgn0037296,40621
FBgn0051410,Npc2e,FBgn0051410,FBgn0051410,326136
FBgn0003741,tra,FBgn0003741,FBgn0003741,39849
FBgn0032877,CG2617,FBgn0032877,FBgn0032877,35331
FBgn0040347,mus81,FBgn0040347,FBgn0040347,31044
FBgn0052600,dpr8,FBgn0052600,FBgn0052600,32387
FBgn0011296,l(2)efl,FBgn0011296,FBgn0011296,37744
FBgn0033763,CG8646,FBgn0033763,FBgn0033763,36394
FBgn0039141,spas,FBgn0039141,FBgn0039141,42846
FBgn0266048,lncRNA:CR44813,FBgn0266048,FBgn0266048,
FBgn0011703,RnrL,FBgn0011703,FBgn0011703,34392
FBgn0266670,Sec5,FBgn0266670,FBgn0266670,33563
FBgn0262533,CR43087,FBgn0262533,FBgn0262533,
FBgn0031240,CG3345,FBgn0031240,FBgn0031240,33192
FBgn0263032,CG43327,FBgn0263032,FBgn0263032,12798323
FBgn0036836,CG11619,FBgn0036836,FBgn0036836,40072
FBgn0035529,Fdx2,FBgn0035529,FBgn0035529,38530
FBgn0034601,CG4286,FBgn0034601,FBgn0034601,37416
FBgn0267780,lncRNA:CR46111,FBgn0267780,FBgn0267780,
FBgn0034427,CG10474,FBgn0034427,FBgn0034427,37211
FBgn0053093,CG33093,FBgn0053093,FBgn0053093,42654
FBgn0032602,ppk17,FBgn0032602,FBgn0032602,35006
FBgn0029824,CG3726,FBgn0029824,FBgn0029824,31525
FBgn0265269,CG15425,FBgn0265269,FBgn0265269,33630
FBgn0015300,Ssl,FBgn0015300,FBgn0015300,37909
FBgn0037583,CG9684,FBgn0037583,FBgn0037583,41000
FBgn0031365,CG17650,FBgn0031365,FBgn0031365,33358
FBgn0039887,CG2053,FBgn0039887,FBgn0039887,43762
FBgn0020497,emb,FBgn0020497,FBgn0020497,34167
FBgn0261954,east,FBgn0261954,FBgn0261954,46006
FBgn0039026,CG7029,FBgn0039026,FBgn0039026,42703
FBgn0039089,beat-IV,FBgn0039089,FBgn0039089,42778
FBgn0259789,zld,FBgn0259789,FBgn0259789,32994
FBgn0030289,GCS1,FBgn0030289,FBgn0030289,32073
FBgn0039698,CG7789,FBgn0039698,FBgn0039698,43516
FBgn0020385,pug,FBgn0020385,FBgn0020385,41279
FBgn0053012,CG33012,FBgn0053012,FBgn0053012,36342
FBgn0035976,PGRP-LC,FBgn0035976,FBgn0035976,39063
FBgn0051017,PH4alphaNE3,FBgn0051017,FBgn0051017,326114
FBgn0041241,Gr47b,FBgn0041241,FBgn0041241,117345
FBgn0031713,Coq6,FBgn0031713,FBgn0031713,33777
FBgn0038487,TwdlW,FBgn0038487,FBgn0038487,42075
FBgn0034554,CAH14,FBgn0034554,FBgn0034554,37359
FBgn0020653,Trxr-1,FBgn0020653,FBgn0020653,31760
FBgn0015351,CG14906,FBgn0015351,FBgn0015351,42030
FBgn0037700,CG8149,FBgn0037700,FBgn0037700,41137
FBgn0052062,Rbfox1,FBgn0052062,FBgn0052062,39198
FBgn0011868,tRNA:Gly-GCC-1-9,FBgn0011868,FBgn0011868,
FBgn0265077,lncRNA:CR44188,FBgn0265077,FBgn0265077,
FBgn0264366,lncRNA:CR43818,FBgn0264366,FBgn0264366,
FBgn0053384,5SrRNA:CR33384,FBgn0053384,FBgn0053384,
FBgn0266931,lncRNA:CR45382,FBgn0266931,FBgn0266931,
FBgn0023416,Ac3,FBgn0023416,FBgn0023416,35419
FBgn0038916,dnd,FBgn0038916,FBgn0038916,42580
FBgn0086378,Alg-2,FBgn0086378,FBgn0086378,3355106
FBgn0051619,nolo,FBgn0051619,FBgn0051619,35424
FBgn0266942,lncRNA:CR45393,FBgn0266942,FBgn0266942,
FBgn0015773,NetA,FBgn0015773,FBgn0015773,32398
FBgn0039810,CG15549,FBgn0039810,FBgn0039810,43665
FBgn0083124,Uhg4,FBgn0083124,FBgn0083124,
FBgn0040905,CG15578,FBgn0040905,FBgn0040905,50379
FBgn0051869,CG31869,FBgn0051869,FBgn0051869,34490
FBgn0262369,mir-31b,FBgn0262369,FBgn0262369,
FBgn0032126,CG13113,FBgn0032126,FBgn0032126,34271
FBgn0063380,snoRNA:U31:54Eb,FBgn0063380,FBgn0063380,
FBgn0032805,CG10337,FBgn0032805,FBgn0032805,35247
FBgn0030077,CG15365,FBgn0030077,FBgn0030077,31829
FBgn0053419,5SrRNA:CR33419,FBgn0053419,FBgn0053419,
FBgn0266043,lncRNA:CR44808,FBgn0266043,FBgn0266043,
FBgn0040089,meso18E,FBgn0040089,FBgn0040089,53448
FBgn0051253,CG31253,FBgn0051253,FBgn0051253,318646
FBgn0051253,CG31253,FBgn0051253,FBgn0051253,318603
FBgn0031849,CG11327,FBgn0031849,FBgn0031849,33940
FBgn0003942,RpS27A,FBgn0003942,FBgn0003942,34420
FBgn0011674,insc,FBgn0011674,FBgn0011674,37355
FBgn0267876,CR46164,FBgn0267876,FBgn0267876,
FBgn0037773,CG5359,FBgn0037773,FBgn0037773,41222
FBgn0053792,CG33792,FBgn0053792,FBgn0053792,3772111
FBgn0031384,CG4238,FBgn0031384,FBgn0031384,33377
FBgn0031996,CG8460,FBgn0031996,FBgn0031996,34115
FBgn0039568,CG4815,FBgn0039568,FBgn0039568,43360
FBgn0263472,snoRNA:2R:9445205,FBgn0263472,FBgn0263472,
FBgn0032693,Cyp310a1,FBgn0032693,FBgn0032693,35115
FBgn0284409,lncRNA:TS1,FBgn0284409,FBgn0284409,
FBgn0020445,E23,FBgn0020445,FBgn0020445,43895
FBgn0267442,lncRNA:CR45792,FBgn0267442,FBgn0267442,
FBgn0270924,zf30C,FBgn0270924,FBgn0270924,34292
FBgn0085425,CG34396,FBgn0085425,FBgn0085425,37398
FBgn0012003,tRNA:Val-CAC-2-5,FBgn0012003,FBgn0012003,
FBgn0266175,pre-mod(mdg4)-P,FBgn0266175,FBgn0266175,19835348
FBgn0263247,CG43390,FBgn0263247,FBgn0263247,12798201
FBgn0263247,CG43390,FBgn0263247,FBgn0263247,12798202
FBgn0085300,Cpr65Ay,FBgn0085300,FBgn0085300,5740348
FBgn0051161,CG31161,FBgn0051161,FBgn0051161,326123
FBgn0039371,CG4960,FBgn0039371,FBgn0039371,43115
FBgn0283724,Girdin,FBgn0283724,FBgn0283724,38385
FBgn0024227,aurB,FBgn0024227,FBgn0024227,34504
FBgn0030082,HP1b,FBgn0030082,FBgn0030082,31834
FBgn0032409,Ced-12,FBgn0032409,FBgn0032409,34633
FBgn0083984,CG34148,FBgn0083984,FBgn0083984,326250
FBgn0029831,CG5966,FBgn0029831,FBgn0029831,31532
FBgn0029945,CG18155,FBgn0029945,FBgn0029945,31668
FBgn0011672,Mvl,FBgn0011672,FBgn0011672,42490
FBgn0011244,Hsp60B,FBgn0011244,FBgn0011244,48572
FBgn0014343,mirr,FBgn0014343,FBgn0014343,39441
FBgn0038073,CG14395,FBgn0038073,FBgn0038073,41560
FBgn0051373,CG31373,FBgn0051373,FBgn0051373,318700
FBgn0028532,CG7968,FBgn0028532,FBgn0028532,34802
FBgn0260857,Bet1,FBgn0260857,FBgn0260857,40094
FBgn0035160,hng3,FBgn0035160,FBgn0035160,38090
FBgn0264694,mgr,FBgn0264694,FBgn0264694,41365
FBgn0286730,snoRNA:Me28S-A2629,FBgn0286730,FBgn0286730,
FBgn0264726,lncRNA:CR43994,FBgn0264726,FBgn0264726,
FBgn0036433,CG9628,FBgn0036433,FBgn0036433,39593
FBgn0042180,CG18870,FBgn0042180,FBgn0042180,59218
FBgn0038257,smp-30,FBgn0038257,FBgn0038257,41786
FBgn0267471,lncRNA:CR45821,FBgn0267471,FBgn0267471,
FBgn0035857,CG8006,FBgn0035857,FBgn0035857,38920
FBgn0033659,Damm,FBgn0033659,FBgn0033659,36266
FBgn0050250,tRNA:His-GTG-1-2,FBgn0050250,FBgn0050250,
FBgn0266733,asRNA:CR45206,FBgn0266733,FBgn0266733,
FBgn0265657,lncRNA:CR44464,FBgn0265657,FBgn0265657,
FBgn0015399,kek1,FBgn0015399,FBgn0015399,34688
FBgn0033348,Spt,FBgn0033348,FBgn0033348,35889
FBgn0010215,alpha-Cat,FBgn0010215,FBgn0010215,40517
FBgn0266722,Trs33,FBgn0266722,FBgn0266722,41866
FBgn0031306,CG4577,FBgn0031306,FBgn0031306,33291
FBgn0052023,CG32023,FBgn0052023,FBgn0052023,317827
FBgn0038273,CG14860,FBgn0038273,FBgn0038273,41803
FBgn0040734,CG15065,FBgn0040734,FBgn0040734,50207
FBgn0004649,yl,FBgn0004649,FBgn0004649,32367
FBgn0035426,CG12078,FBgn0035426,FBgn0035426,38401
FBgn0262515,VhaAC45,FBgn0262515,FBgn0262515,35944
FBgn0034737,CG11362,FBgn0034737,FBgn0034737,37574
FBgn0039319,CG13659,FBgn0039319,FBgn0039319,43059
FBgn0014868,Ost48,FBgn0014868,FBgn0014868,31849
FBgn0267326,Ntl,FBgn0267326,FBgn0267326,34046
FBgn0002021,l(2)37Bb,FBgn0002021,FBgn0002021,49427
FBgn0266208,lncRNA:CR44903,FBgn0266208,FBgn0266208,
FBgn0286920,CR46420,FBgn0286920,FBgn0286920,
FBgn0030286,Gapvd1,FBgn0030286,FBgn0030286,32070
FBgn0038539,Atg8b,FBgn0038539,FBgn0038539,42132
FBgn0052218,lncRNA:CR32218,FBgn0052218,FBgn0052218,
FBgn0050058,CG30058,FBgn0050058,FBgn0050058,246424
FBgn0053744,snmRNA:430r,FBgn0053744,FBgn0053744,
FBgn0263570,mir-4941,FBgn0263570,FBgn0263570,
FBgn0014850,Eig71Ej,FBgn0014850,FBgn0014850,39711
FBgn0265737,lncRNA:CR44544,FBgn0265737,FBgn0265737,
FBgn0264090,CG43759,FBgn0264090,FBgn0264090,32889
FBgn0011569,can,FBgn0011569,FBgn0011569,45432
FBgn0038686,CG5555,FBgn0038686,FBgn0038686,42302
FBgn0038680,Cyp12a5,FBgn0038680,FBgn0038680,42293
FBgn0000382,csw,FBgn0000382,FBgn0000382,45278
FBgn0065046,snoRNA:U3:9B,FBgn0065046,FBgn0065046,
FBgn0034021,CG8180,FBgn0034021,FBgn0034021,36713
FBgn0024997,CG2681,FBgn0024997,FBgn0024997,31258
FBgn0034012,Hr51,FBgn0034012,FBgn0034012,36702
FBgn0039644,rdog,FBgn0039644,FBgn0039644,43450
FBgn0065048,snoRNA:U3:54Aa,FBgn0065048,FBgn0065048,
FBgn0261631,CG42714,FBgn0261631,FBgn0261631,10178862
FBgn0024980,Syx4,FBgn0024980,FBgn0024980,31269
FBgn0027621,Pfrx,FBgn0027621,FBgn0027621,32938
FBgn0285879,disco-r,FBgn0285879,FBgn0285879,64875
FBgn0040759,CG13177,FBgn0040759,FBgn0040759,5740215
FBgn0265075,lncRNA:CR44186,FBgn0265075,FBgn0265075,
FBgn0265831,lncRNA:CR44620,FBgn0265831,FBgn0265831,
FBgn0085472,CG34443,FBgn0085472,FBgn0085472,5740580
FBgn0037167,CG11425,FBgn0037167,FBgn0037167,40472
FBgn0035720,CG10077,FBgn0035720,FBgn0035720,38756
FBgn0037614,TMEM216,FBgn0037614,FBgn0037614,41035
FBgn0003511,Sry-beta,FBgn0003511,FBgn0003511,43570
FBgn0038584,mTerf5,FBgn0038584,FBgn0038584,42182
FBgn0027932,Akap200,FBgn0027932,FBgn0027932,34170
FBgn0038151,yellow-e2,FBgn0038151,FBgn0038151,41652
FBgn0265656,lncRNA:CR44463,FBgn0265656,FBgn0265656,
FBgn0032405,firl,FBgn0032405,FBgn0032405,34627
FBgn0036342,CG11279,FBgn0036342,FBgn0036342,39486
FBgn0263656,CG43647,FBgn0263656,FBgn0263656,14462557
FBgn0063391,snoRNA:U14:30Eb,FBgn0063391,FBgn0063391,
FBgn0035134,CG1231,FBgn0035134,FBgn0035134,38060
FBgn0037835,CG14687,FBgn0037835,FBgn0037835,41297
FBgn0039006,Cyp6d4,FBgn0039006,FBgn0039006,42682
FBgn0266073,lncRNA:CR44826,FBgn0266073,FBgn0266073,
FBgn0037668,CG16736,FBgn0037668,FBgn0037668,41101
FBgn0001977,CIAPIN1,FBgn0001977,FBgn0001977,49424
FBgn0265149,lncRNA:CR44218,FBgn0265149,FBgn0265149,
FBgn0051896,tRNA:Asp-GTC-1-2,FBgn0051896,FBgn0051896,
FBgn0266809,asRNA:CR45271,FBgn0266809,FBgn0266809,
FBgn0267578,lncRNA:CR45918,FBgn0267578,FBgn0267578,
FBgn0259166,CG42271,FBgn0259166,FBgn0259166,2768892
FBgn0285970,CG32500,FBgn0285970,FBgn0285970,318252
FBgn0285970,CG32500,FBgn0285970,FBgn0285970,2768875
FBgn0285970,CG32500,FBgn0285970,FBgn0285970,2768879
FBgn0038545,pasi1,FBgn0038545,FBgn0038545,42139
FBgn0053771,CG33771,FBgn0053771,FBgn0053771,3772424
FBgn0263078,CG43339,FBgn0263078,FBgn0263078,8674062
FBgn0050365,spaw,FBgn0050365,FBgn0050365,246568
FBgn0266720,Snap24,FBgn0266720,FBgn0266720,41193
FBgn0267014,CR45458,FBgn0267014,FBgn0267014,
FBgn0030921,CG6290,FBgn0030921,FBgn0030921,32827
FBgn0265796,lncRNA:CR44585,FBgn0265796,FBgn0265796,
FBgn0037087,CG7519,FBgn0037087,FBgn0037087,40377
FBgn0261477,slim,FBgn0261477,FBgn0261477,37121
FBgn0053203,CG33203,FBgn0053203,FBgn0053203,43414
FBgn0031910,CG15818,FBgn0031910,FBgn0031910,34019
FBgn0035490,CG1136,FBgn0035490,FBgn0035490,38479
FBgn0263523,mir-4972,FBgn0263523,FBgn0263523,
FBgn0025186,ari-2,FBgn0025186,FBgn0025186,37542
FBgn0266687,lncRNA:CR45177,FBgn0266687,FBgn0266687,
FBgn0034645,ND-B12,FBgn0034645,FBgn0034645,37466
FBgn0015622,Cnx99A,FBgn0015622,FBgn0015622,44643
FBgn0265825,lncRNA:CR44614,FBgn0265825,FBgn0265825,
FBgn0051099,CG31099,FBgn0051099,FBgn0051099,326117
FBgn0265038,asRNA:CR44155,FBgn0265038,FBgn0265038,
FBgn0086036,snoRNA:Me18S-A934,FBgn0086036,FBgn0086036,
FBgn0038829,CG17271,FBgn0038829,FBgn0038829,42463
FBgn0053461,CG33461,FBgn0053461,FBgn0053461,2768840
FBgn0034271,Vps50,FBgn0034271,FBgn0034271,37021
